percepcion,ideologia,KEY
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,PT,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Desaprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,PRI,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Desaprueba,PAN,30_193
Aprueba,MORENA,30_193
Aprueba,MORENA,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,PAN,30_193
Aprueba,MORENA,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,PAN,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Aprueba,Ninguno,30_193
Desaprueba,PRI,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,PAN,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,PRI,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Desaprueba,PAN,30_193
Aprueba,Ninguno,30_193
Aprueba,PAN,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,PAN,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Aprueba,PAN,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,PAN,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,PAN,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,PAN,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,PAN,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,MORENA,30_193
Desaprueba,PAN,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,MORENA,30_193
Aprueba,MORENA,30_193
Desaprueba,Ninguno,30_193
Desaprueba,PRI,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Aprueba,Ninguno,30_193
Desaprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Aprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Desaprueba,PAN,30_193
Aprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Desaprueba,PAN,30_193
Aprueba,MORENA,30_193
Aprueba,MORENA,30_193
Aprueba,PAN,30_193
Aprueba,Ninguno,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_193
Desaprueba,PAN,30_193
Aprueba,MORENA,30_193
Aprueba,MORENA,30_193
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,MORENA,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Unidad Ciudadana,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PRI,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PRI,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,PRI,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PRI,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,PAN,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,PAN,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,PRI,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Unidad Ciudadana,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Unidad Ciudadana,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,PAN,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PRI,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,PAN,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,PRI,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
